Load Increment,Neo-Hookean J - 1,Mooney-Rivlin J - 1,Mooney-Rivlin J - 1 (2),Mooney-Rivlin log(J)
0,0.0001850540540606,0.0001792710704439,0.0001807175798421,0.0001792710704485
1,0.0007402038749614,0.0007170717928345,0.000722867029083,0.0007170717931318
2,0.001665412440635,0.001613364700594,0.001626438476079,0.001613364703981
3,0.002960618053566,0.00286808735025,0.002891415465462,0.002868087369282
4,0.0046257343497,0.004481152322701,0.004517774954201,0.004481152395309
5,0.006660650310986,0.006452447225043,0.006505487306069,0.006452447441874
6,0.00906523028156,0.008781834693009,0.008854516284529,0.00878183523985
7,0.01183931398767,0.01146915239409,0.01156481904401,0.01146915361275
8,0.01498271656136,0.01451421303141,0.0146363461196,0.01451421550244
9,0.0184952285681,0.01791680434848,0.01806904141506,0.01791680899913
10,0.02237661603825,0.02167668913485,0.02186284218928,0.02167669737565
11,0.0266266205027,0.02579360523285,0.02601767904104,0.02579361912633
12,0.03124495903255,0.03026726554544,0.03053347589211,0.03026728801035
13,0.03623132428311,0.03509735804541,0.03541014996874,0.03509739309998
14,0.04158538454216,0.04028354578586,0.04064761178136,0.04028359883358
15,0.04730678378275,0.04582546691221,0.04624576510267,0.04582554507375
16,0.05339514172039,0.05172273467578,0.05220450694399,0.05172284717056
17,0.05985005387494,0.05797493744907,0.0585237275299,0.05797509603012
18,0.0666710916372,0.06458163874275,0.06520331027111,0.06458185818859
19,0.07385780234024,0.07154237722455,0.07224313173563,0.07154267589182
20,0.08140970933551,0.07885666674005,0.07964306161824,0.07885706718056
21,0.08932631207395,0.08652399633538,0.08740296270809,0.08652452598163
22,0.09760708619193,0.09454383028204,0.09552269085469,0.09454452220495
23,0.1062514836022,0.1029156081036,0.1040020949321,0.1029165018466
24,0.11525893259,0.1116387446048,0.1128410168012,0.1116398870981
25,0.1246288379135,0.1207126299021,0.1220392912709,0.1207140764617
26,0.1343605809105,0.1301366294568,0.1315967460564,0.1301384448723
27,0.1444535196088,0.1399100841104,0.1415132017372,0.1399123438256
28,0.1549069888425,0.1500323101211,0.1517884717123,0.1500351015123
29,0.1657203003727,0.160502599203,0.1624223621541,0.1605060229599
30,0.1768927430138,0.1713202185669,0.1734146719611,0.1713243901797
31,0.1884235827637,0.1824844109632,0.184765192708,0.1824894623216
32,0.20031206294,0.1939943947264,0.1964737085954,0.1940004758347
33,0.2125574043204,0.2058493638206,0.2085399963969,0.2058566446355
34,0.2251588052875,0.2180484878885,0.2209638254053,0.2180571602823
35,0.2381154419795,0.2305909122994,0.233744957377,0.2306011921561
36,0.2514264684442,0.2434757582009,0.2468831464752,0.2434878876497
37,0.2650910167985,0.2567021225704,0.2603781392118,0.2567163723622
38,0.2791081973924,0.2702690782684,0.2742296743871,0.2702857503016
39,0.2934770989767,0.2841756740931,0.2884374830296,0.284195104094
